Age,Experience,Education_level,Salary
25,2,1,40000
30,5,2,50000
35,8,3,70000
40,10,3,90000
28,4,2,48000
41,20,1,129874
39,18,1,115333
25,4,3,84421
26,5,2,84001
49,9,2,114032
30,9,2,92585
46,8,3,115091
25,4,2,72461
43,5,2,95150
32,3,1,73182
29,6,3,92344
38,12,2,108450
27,3,1,65200
45,15,3,140320
34,7,2,98050
31,5,1,78230
36,10,3,121540
42,14,2,126300
24,2,1,59800
48,18,3,152410
33,6,2,89520
37,11,3,118700
29,4,1,73440
44,16,2,132150
26,3,2,75680
35,9,3,112340
40,13,2,124500
28,5,1,76990
47,19,3,149880
30,7,2,90670
39,12,1,104340
41,15,3,138920
27,4,2,78150
43,17,3,145600
32,6,1,82310
36,8,2,103420
45,20,3,156700
24,1,1,56020
38,14,2,119830
29,5,2,85490
31,7,1,82100
42,16,3,146250
33,8,2,98760
37,10,3,117540
28,4,1,71030
46,18,2,141900
34,9,3,111870
25,3,2,74880
40,14,3,135220
30,6,1,80110
35,11,2,109430
44,17,3,149100
27,2,1,64550
39,13,2,120800
32,5,2,86540
41,16,3,142700
29,4,1,73990
36,9,2,105320
48,20,3,158900
26,3,1,67220
43,15,2,130780
31,6,2,89410
38,12,3,124670
28,5,1,75550
45,18,3,151300
34,7,2,96420
37,11,2,112760
30,5,1,79850
42,14,3,139450
25,2,2,70320
40,15,2,128940
33,8,3,109800
27,4,1,69870
46,19,3,154620
35,10,2,106540
29,6,1,78600
44,17,2,136900
32,7,2,92840
39,13,3,129540
26,3,1,68100
41,16,2,133780
30,5,2,87200
36,10,3,120950
28,4,1,72440
47,18,3,153210
34,8,2,98540
38,12,2,114890
31,6,1,81430
43,15,3,144780
27,3,2,75900
45,19,3,157340
35,9,2,104200
29,5,1,76840
40,14,3,137880
33,7,2,94810
37,11,3,121450
26,4,1,69920
48,20,3,160120
